FilthyAnimal|2025-02-21 17:10:00|Ominous Stat Tied To Bucs’ Coordinator Change|2025-02-21 16:54:00|28|0.26666666666666666
Beeej|2025-02-21 17:12:00|Ominous Stat Tied To Bucs’ Coordinator Change|2025-02-21 16:54:00|13|0.3
RVATom|2025-02-21 17:16:00|Ominous Stat Tied To Bucs’ Coordinator Change|2025-02-21 16:54:00|112|0.36666666666666664
Ben|2025-02-21 17:53:00|Ominous Stat Tied To Bucs’ Coordinator Change|2025-02-21 16:54:00|110|0.9833333333333333
HC Grover|2025-02-21 18:13:00|Ominous Stat Tied To Bucs’ Coordinator Change|2025-02-21 16:54:00|29|1.3166666666666667
stpetebucsfan|2025-02-21 18:41:00|Ominous Stat Tied To Bucs’ Coordinator Change|2025-02-21 16:54:00|1|1.7833333333333334
StickinUp4Centers|2025-02-21 19:02:00|Ominous Stat Tied To Bucs’ Coordinator Change|2025-02-21 16:54:00|29|2.1333333333333333
Dewey Selmon|2025-02-21 19:45:00|Ominous Stat Tied To Bucs’ Coordinator Change|2025-02-21 16:54:00|5|2.85
Durango 95|2025-02-21 20:10:00|Ominous Stat Tied To Bucs’ Coordinator Change|2025-02-21 16:54:00|63|3.2666666666666666
Hearty Dikerson|2025-02-21 21:23:00|Ominous Stat Tied To Bucs’ Coordinator Change|2025-02-21 16:54:00|23|4.483333333333333
Miller5252|2025-02-21 21:35:00|Ominous Stat Tied To Bucs’ Coordinator Change|2025-02-21 16:54:00|101|4.683333333333334
Oddball|2025-02-21 21:49:00|Ominous Stat Tied To Bucs’ Coordinator Change|2025-02-21 16:54:00|5|4.916666666666667
KABucs|2025-02-21 23:15:00|Ominous Stat Tied To Bucs’ Coordinator Change|2025-02-21 16:54:00|75|6.35
BucsBeBack (Artist formally known as: BringBucsBack)|2025-02-21 23:26:00|Ominous Stat Tied To Bucs’ Coordinator Change|2025-02-21 16:54:00|4|6.533333333333333
Aqualung|2025-02-22 01:30:00|Ominous Stat Tied To Bucs’ Coordinator Change|2025-02-21 16:54:00|26|8.6
Tellitlikeitis|2025-02-22 06:43:00|Ominous Stat Tied To Bucs’ Coordinator Change|2025-02-21 16:54:00|13|13.816666666666666
Lord Cornelius|2025-02-22 08:16:00|Ominous Stat Tied To Bucs’ Coordinator Change|2025-02-21 16:54:00|19|15.366666666666667
BamBam44|2025-02-22 09:09:00|Ominous Stat Tied To Bucs’ Coordinator Change|2025-02-21 16:54:00|27|16.25
